date,sales_3mma
1986-01,1724274.7
1986-02,1787301.7
1986-03,1917857.0
1986-04,2076142.3
1986-05,2176548.0
1986-06,2233468.3
1986-07,2303270.3
1986-08,2311011.3
1986-09,2348684.0
1986-10,2352639.7
1986-11,2334522.0
1986-12,2285110.3
1987-01,2216981.3
1987-02,2246635.0
1987-03,2345094.0
1987-04,2457206.0
1987-05,2573086.0
1987-06,2643369.3
1987-07,2720081.0
1987-08,2724920.0
1987-09,2789499.7
1987-10,2862188.0
1987-11,2992682.7
1987-12,3065521.0
1988-01,3116872.7
1988-02,3196004.3
1988-03,3345946.0
1988-04,3493946.7
1988-05,3613104.7
1988-06,3738031.0
1988-07,3794664.3
1988-08,3821716.3
1988-09,3814222.3
1988-10,3902941.0
1988-11,4049874.0
1988-12,4103403.7
1989-01,4060090.0
1989-02,4018372.7
1989-03,4082841.7
1989-04,4191833.7
1989-05,4189377.3
1989-06,4161884.3
1989-07,4076007.0
1989-08,4018157.3
1989-09,4001489.3
1989-10,4042690.7
1989-11,4089127.3
1989-12,4008093.3
1990-01,3868898.0
1990-02,3808276.7
1990-03,3884775.0
1990-04,3956214.0
1990-05,4024363.0
1990-06,4081881.3
1990-07,4188358.3
1990-08,4243391.3
1990-09,4343404.3
1990-10,4486496.3
1990-11,4609568.3
1990-12,4529583.3
1991-01,4385182.7
1991-02,4358060.0
1991-03,4490856.7
1991-04,4552143.3
1991-05,4540762.7
1991-06,4543322.7
1991-07,4549125.7
1991-08,4513380.0
1991-09,4571923.0
1991-10,4625353.7
1991-11,4723278.0
1991-12,4596382.3
1992-01,4570613.7
1992-02,4512210.0
1992-03,4603748.0
1992-04,4609904.0
1992-05,4658752.0
1992-06,4768359.7
1992-07,4916481.7
1992-08,5008560.7
1992-09,5192520.7
1992-10,5311071.3
1992-11,5474396.0
1992-12,5390357.7
1993-01,5259823.3
1993-02,5291621.3
1993-03,5570874.7
1993-04,5898549.7
1993-05,6103016.7
1993-06,6347165.7
1993-07,6526915.0
1993-08,6687703.7
1993-09,6889415.3
1993-10,6992382.0
1993-11,7124105.7
1993-12,6962438.0
1994-01,6960186.3
1994-02,6984839.0
1994-03,7291266.0
1994-04,7631025.0
1994-05,7893708.3
1994-06,8207595.0
1994-07,8322705.3
1994-08,8546428.0
1994-09,8852496.3
1994-10,9266112.0
1994-11,9603538.0
1994-12,9608173.7
1995-01,9591792.0
1995-02,9775283.7
1995-03,10450718.7
1995-04,11094429.7
1995-05,11548562.3
1995-06,12043639.3
1995-07,12154719.3
1995-08,12377101.3
1995-09,12468423.3
1995-10,12824513.7
1995-11,13188130.0
1995-12,13171779.0
1996-01,12788525.7
1996-02,12309420.0
1996-03,12106657.7
1996-04,11745401.7
1996-05,11231680.3
1996-06,10602541.3
1996-07,10245387.0
1996-08,10071075.0
1996-09,10289999.7
1996-10,10702416.7
1996-11,11093643.0
1996-12,10989612.0
1997-01,10663900.0
1997-02,10432299.0
1997-03,10967758.7
1997-04,11143734.7
1997-05,11458363.0
1997-06,11453297.0
1997-07,11649795.0
1997-08,11639511.0
1997-09,11829523.3
1997-10,11990195.7
1997-11,12113946.7
1997-12,11483794.3
1998-01,10966225.0
1998-02,10534878.3
1998-03,10456030.7
1998-04,10449826.3
1998-05,10093062.0
1998-06,9868011.0
1998-07,9678408.7
1998-08,9821872.0
1998-09,10233988.7
1998-10,10868624.7
1998-11,11395936.7
1998-12,11312636.0
1999-01,11111435.0
1999-02,10915742.0
1999-03,11180925.3
1999-04,11212685.3
1999-05,11304344.3
1999-06,11235322.0
1999-07,11527495.0
1999-08,11911510.3
1999-09,12671932.7
1999-10,13387875.7
1999-11,14236046.3
1999-12,14704670.3
2000-01,14838276.0
2000-02,14643232.0
2000-03,15070017.0
2000-04,15284602.0
2000-05,15902994.7
2000-06,16740610.7
2000-07,17292554.7
2000-08,18082151.7
2000-09,18435353.7
2000-10,18649362.0
2000-11,18274284.3
2000-12,17885226.3
2001-01,16629419.0
2001-02,15482723.0
2001-03,14412385.7
2001-04,13737590.3
2001-05,12708022.3
2001-06,11541310.3
2001-07,10817879.0
2001-08,10445029.7
2001-09,10187844.7
2001-10,10439099.0
2001-11,10604067.3
2001-12,10179329.3
2002-01,10018153.3
2002-02,10028037.0
2002-03,10733116.7
2002-04,11068467.0
2002-05,11375361.3
2002-06,11353690.7
2002-07,11675405.7
2002-08,11926008.3
2002-09,12289487.0
2002-10,12512423.3
2002-11,12827893.0
2002-12,12528145.7
2003-01,12281350.7
2003-02,11915799.3
2003-03,12298975.3
2003-04,12399938.7
2003-05,12650209.0
2003-06,12697061.3
2003-07,13053398.0
2003-08,13564127.7
2003-09,14445816.0
2003-10,15428502.7
2003-11,16116837.0
2003-12,16033321.3
2004-01,15555067.3
2004-02,15591618.7
2004-03,16286936.0
2004-04,16987800.3
2004-05,17337838.3
2004-06,17836360.3
2004-07,18019728.7
2004-08,18282338.3
2004-09,18517960.0
2004-10,18781620.0
2004-11,19034951.7
2004-12,18367689.0
2005-01,18379843.7
2005-02,17988959.0
2005-03,18359393.0
2005-04,18131268.7
2005-05,18051298.3
2005-06,17958323.7
2005-07,18020015.7
2005-08,18587812.7
2005-09,19557261.0
2005-10,20057752.0
2005-11,20406749.0
2005-12,19953068.0
2006-01,19656108.7
2006-02,19275575.7
2006-03,19701312.0
2006-04,19599266.0
2006-05,19811127.7
2006-06,19780800.0
2006-07,20149012.3
2006-08,20513737.0
2006-09,21344996.3
2006-10,21969518.0
2006-11,22545487.0
2006-12,21744956.0
2007-01,21478968.7
2007-02,20139985.3
2007-03,20361815.3
2007-04,20056971.7
2007-05,20311184.0
2007-06,19968309.7
2007-07,20603200.7
2007-08,21532619.7
2007-09,22603797.7
2007-10,23025347.7
2007-11,23121363.0
2007-12,22281190.0
2008-01,21469383.7
2008-02,20345420.3
2008-03,20935471.3
2008-04,20875802.3
2008-05,21459527.3
2008-06,21567320.3
2008-07,22185099.0
2008-08,22710835.7
2008-09,22958763.0
2008-10,22490363.0
2008-11,20867579.7
2008-12,17406049.3
2009-01,15284445.3
2009-02,14112100.3
2009-03,14565926.7
2009-04,15678760.3
2009-05,16701175.0
2009-06,17483009.7
2009-07,18423484.7
2009-08,19381241.3
2009-09,20960541.3
2009-10,21962515.3
2009-11,22710627.7
2009-12,22428311.0
2010-01,22392129.3
2010-02,22185537.3
2010-03,23265931.0
2010-04,23736247.0
2010-05,24701459.7
2010-06,24809338.3
2010-07,25124726.0
2010-08,25597459.7
2010-09,26209095.7
2010-10,26200360.0
2010-11,25927290.3
2010-12,25154006.7
2011-01,25410634.0
2011-02,24677331.7
2011-03,25311719.3
2011-04,24784056.7
2011-05,25241485.0
2011-06,24886360.3
2011-07,24861373.0
2011-08,25104317.0
2011-09,25809834.3
2011-10,25805188.3
2011-11,25219042.3
2011-12,23832532.0
2012-01,23159492.3
2012-02,22925777.7
2012-03,23277629.3
2012-04,24060571.3
2012-05,24397217.0
2012-06,24364517.0
2012-07,24290724.7
2012-08,24319335.7
2012-09,24810091.0
2012-10,25237001.3
2012-11,25511206.0
2012-12,24735134.7
2013-01,24147838.0
2013-02,23228633.0
2013-03,23483107.7
2013-04,23622734.0
2013-05,24691836.3
2013-06,24881641.3
2013-07,25532357.0
2013-08,25983391.0
2013-09,26850623.0
2013-10,27086905.7
2013-11,27189196.7
2013-12,26645916.0
2014-01,26253845.7
2014-02,26044211.0
2014-03,26148211.7
2014-04,26335964.3
2014-05,26829714.0
2014-06,27440776.0
2014-07,28129539.3
2014-08,28592825.0
2014-09,29233070.0
2014-10,29683815.0
2014-11,29773970.7
2014-12,29125581.3
2015-01,28545381.7
2015-02,27741991.0
2015-03,27702638.0
2015-04,27558137.3
2015-05,28109499.0
2015-06,27992352.7
2015-07,27868949.3
2015-08,27883511.3
2015-09,28410512.3
2015-10,28973206.0
2015-11,28880279.7
2015-12,27617117.3
2016-01,26891312.0
2016-02,26083776.0
2016-03,26154169.7
2016-04,25887059.3
2016-05,26045251.3
2016-06,26383593.0
2016-07,27128517.0
2016-08,28215825.3
2016-09,29431308.7
2016-10,30427769.7
2016-11,31019906.3
2016-12,31007880.3
2017-01,30641821.3
2017-02,30383167.3
2017-03,30840484.3
2017-04,31283705.0
2017-05,31994885.3
2017-06,32628829.7
2017-07,33631707.7
2017-08,34961181.3
2017-09,35952240.3
2017-10,37091025.3
2017-11,37689665.7
2017-12,37985427.0
2018-01,37604300.3
2018-02,36767849.0
2018-03,37102480.0
2018-04,37609718.7
2018-05,38723276.3
2018-06,39312895.0
2018-07,39502030.7
2018-08,40659135.7
2018-09,41624570.0
2018-10,42109448.0
2018-11,41108510.0
2018-12,38219483.3
2019-01,35478571.7
2019-02,32870835.7
2019-03,32617335.0
2019-04,32444658.0
2019-05,33037951.7
2019-06,32856638.3
2019-07,33545070.3
