date,mdm2_v1
1997-01-01,2694.8573514838577
1997-02-01,2700.9333645321476
1997-03-01,2715.0885735004663
1997-04-01,2652.6180036110395
1997-05-01,2856.55147588193
1997-06-01,3042.5755248335895
1997-07-01,3085.9603965442548
1997-08-01,3143.5791176024663
1997-09-01,3321.3863230223255
1997-10-01,3368.7598627357656
1997-11-01,3306.291720633655
1997-12-01,3262.1686627488907
1998-01-01,3276.761500912184
1998-02-01,3456.3819120056733
1998-03-01,3561.626522130131
1998-04-01,3540.626056712236
1998-05-01,3608.9952934396315
1998-06-01,3689.132668913267
1998-07-01,3829.392454445977
1998-08-01,3686.21562182231
1998-09-01,3386.8594324811957
1998-10-01,3212.6790315466933
1998-11-01,3420.995720793263
1998-12-01,3397.796873571624
1999-01-01,3686.622757210993
1999-02-01,3680.8938496994892
1999-03-01,3749.7631187113657
1999-04-01,4131.640292284934
1999-05-01,4234.190053721495
1999-06-01,4163.598047914818
1999-07-01,4178.308418221106
1999-08-01,4120.98315285435
1999-09-01,4152.972334092103
1999-10-01,4229.73414331439
1999-11-01,4733.59642655796
1999-12-01,5215.592869613951
2000-01-01,5579.07704173451
2000-02-01,6071.6101604392325
2000-03-01,6365.706645159921
2000-04-01,5636.058559503335
2000-05-01,5401.139685009568
2000-06-01,5540.284062342885
2000-07-01,5504.330766180368
2000-08-01,5501.940035273368
2000-09-01,5565.332015159005
2000-10-01,5151.9101677170365
2000-11-01,4872.570504024413
2000-12-01,4269.522688529913
2001-01-01,4191.93298917301
2001-02-01,3964.2615108630657
2001-03-01,3444.411602427682
2001-04-01,3426.5922048607727
2001-05-01,3563.049910457058
2001-06-01,3466.8249647690195
2001-07-01,3333.5892514395396
2001-08-01,3228.879819977878
2001-09-01,2949.1699501409867
2001-10-01,2851.285602006063
2001-11-01,2959.4431554524363
2001-12-01,2949.6002205679624
2002-01-01,2946.510648427915
2002-02-01,2821.9554843175115
2002-03-01,2909.651035986914
2002-04-01,2891.114301812035
2002-05-01,2854.4398820613933
2002-06-01,2772.6216844038677
2002-07-01,2571.5689778413152
2002-08-01,2467.8715215579164
2002-09-01,2403.7405294668242
2002-10-01,2429.377442133483
2002-11-01,2422.1878744724822
2002-12-01,2412.8975326158425
2003-01-01,2432.700744997505
2003-02-01,2402.722205122944
